symbol,date,open,high,low,close,volume,SMA,EMA,MACD,RSI,BBANDS Upper,BBANDS Lower,ATR,VWAP
MSFT,2024-06-26,449.0,453.6,448.19,452.16,16507030,433.6111,437.4023,,67.3138,460.2186,407.0036,6.7263,
TSLA,2024-06-26,186.54,197.755,186.36,196.37,95737066,179.997,181.6557,,61.0571,191.4751,168.5189,7.4698,
AAPL,2024-06-27,214.69,215.7395,212.35,214.1,49772707,204.3611,204.9665,,67.5928,222.3464,186.3758,4.4919,
AMZN,2024-06-27,195.005,199.84,194.2,197.85,74397491,,,,,,,,
GOOGL,2024-06-27,184.18,186.05,184.02,185.41,18848884,176.7098,177.6199,,67.8099,184.1608,169.2589,3.2872,
MSFT,2024-06-27,452.175,456.17,451.77,452.85,14806324,434.793,438.7968,,67.6638,462.4501,407.1359,6.6096,
TSLA,2024-06-27,195.17,198.72,194.05,197.42,72746521,181.0585,183.1571,,61.5748,194.6619,167.4551,7.3299,
AAPL,2024-06-28,215.77,216.07,210.3,210.62,82542718,205.3265,205.4819,,62.9058,222.4045,188.2486,4.5555,
AMZN,2024-06-28,197.73,198.85,192.5,193.25,76930192,,,,,,,,
GOOGL,2024-06-28,184.32,185.13,181.96,182.15,29156644,177.221,178.028,,61.7491,184.6247,169.8172,3.2951,
MSFT,2024-06-28,453.07,455.38,446.41,446.95,28362271,436.4041,439.4976,,61.7155,462.7351,410.0731,6.7268,
TSLA,2024-06-28,199.55,203.2,195.26,197.88,95438068,182.013,184.5592,,61.8089,197.4069,166.6191,7.3604,
AAPL,2024-07-01,212.09,217.51,211.92,216.75,60402929,206.5501,206.5314,,67.1318,223.1416,189.9586,4.6718,
AMZN,2024-07-01,193.49,198.2957,192.82,197.2,41192011,,,,,,,,
GOOGL,2024-07-01,183.03,183.88,181.3,182.99,16006128,177.7546,178.4772,,62.6545,185.1353,170.3739,3.2592,
MSFT,2024-07-01,448.66,457.37,445.66,456.73,17662818,438.4804,441.0615,,66.807,464.0797,412.8811,6.9749,
TSLA,2024-07-01,201.02,213.23,200.85,209.86,135691395,183.602,186.9688,,67.2746,203.0666,164.1374,7.7598,
AAPL,2024-07-02,216.15,220.38,215.1,220.27,58046178,207.8606,207.8157,,69.2494,224.3593,191.362,4.7019,
AMZN,2024-07-02,197.28,200.43,195.93,200.0,45600013,,,,,,,,
